video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"1T9RmTK3dQc","빵싸대기 맞았습니다... 냄새 비쥬얼에 홀리고 드립에 진짜 터져버린 여기가 🍞빵터짐 맛집🍞빵집 알바 리뷰 l 워크맨 ep.32","2019-12-20T09:00:06.000Z","UCwx6n_4OcLgzAGdty0RWCoA","워크맨-Workman","22","19.20.12","studiolululala|JTBC|스튜디오룰루랄라|룰루랄라|워크맨|직업리뷰|알바리뷰|알바썰|알바|직업|장성규|와썹맨|workman|job|wassupman|아르바이트|후기|알바후기|빵집|빵집알바|제과점|제과점알바|빵집투어|빵지순례|빵추천|빵asmr|빵먹방|파리바게트케이크|파리바케트알바|뚜레쥬르케이크|뚜레쥬르알바|크리스마스케이크","1475848","43063","648","3947","https://i.ytimg.com/vi/1T9RmTK3dQc/default.jpg","False","False","JOB것들아~~~♥ 인력소장이다,,,,~~~ 그 뭐시기~~,, 달다구리~~ 빵이 엄청,,, 많다고하는디~~ㅎㅎ 크리스마스 되믄~~,,,케이크~~ 하나씩,, 사먹구~!!!!!!세상의 모든 job것들을 리뷰한다 [워크맨]▶ 매주 금 오후 6시 공개#워크맨 #workman #장성규 #빵집알바 #제과점#직업리뷰 #알바리뷰 #장성규 #스튜디오룰루랄라"
"ZRqrynq2sN0","[신병] 유격 4","2019-12-19T08:00:10.000Z","UChbE5OZQ6dRHECsX0tEPEZQ","장삐쭈","1","19.20.12","장삐쭈|삐쭈|ㅋㅋㅋ|삐쮸|장삐쮸|병맛더빙|더빙|웃긴동영상|꿀잼|신병|초병|장삐쭈 단편선|단편선|창작애니|볼만한 애니|재밌는애니|웃긴애니|볼만한애니|애니추천|만화추천|UFC|암바|장비주|유격|유격훈련|신병 유격|신병신작|장삐쭈 군대|군대만화","1719207","31074","853","4985","https://i.ytimg.com/vi/ZRqrynq2sN0/default.jpg","False","False","스튜디오 장삐쭈장삐쭈 ,  정영준 , 안류천  , 포포 , 윤성원 , 허혜원 , 정대준"
"HNrM7eJX-Yo","매우 현실적인 마인크래프트 - 겜브링(GGAMBRING)","2019-12-20T07:00:01.000Z","UCSOeJWyByeoBHpmrm0NnlLw","겜브링 GGAM BRING","20","19.20.12","병맛게임|겜브링|ggambring|sandbox network|샌드박스|갬블링|겜브링tv|마인크래프트|게임이 현실|게임이 현실이라면|minecraft|마크 실사판|마크","94445","1808","71","387","https://i.ytimg.com/vi/HNrM7eJX-Yo/default.jpg","False","False","#겜브링 #마인크래프트# 게임실화냐촬영 당일 레알로 굉장히 추웠습니다..【무료채널구독】 ► https://www.youtube.com/channel/UCSOeJWyByeoBHpmrm0NnlLw?sub_confirmation=1【팬아트 및 팬레터!】 ► ggambring@sandboxnetwork.net【인스타그램】 ► https://www.instagram.com/ggambringtv【겜브링TV 시즌4】 ►애니박스 | 매주 월요일 오후 5시!애니원 | 9월 26일 부터~ 매주 목요일 저녁 6시!챔프 | 9월 23일 부터~ 매주 월-화 저녁 7시!【겜브링TV 방영】 ►애니박스 겜브링TV 시즌 1~3 방송중애니박스 겜브링TV 블록대탐험 방송중애니맥스 겜브링TV 시즌1~2 방송중애니맥스 겜브링TV 블록어드벤처 시즌1 방송중"
"ftr0RyuxVlc","ENG] 다시 찾아온 헬스장 몰카4 - [동네놈들]","2019-12-19T10:30:13.000Z","UCIuFnJrRwHEUcIVtozJnUGA","동네놈들","23","19.20.12","관찰|관찰카메라|실험|실험카메라|prank|prankcam|prankcamera|prankgag|prankgags|gag|gags|동네놈들|헬스|헬스장|웨이트|웨이트트레이닝|인기동영상|인기급상승동영상|재밌는영상|재밌는유튜버|웃긴영상|웃긴유튜버|역대급|레전드|리액션|장난|fun|funvideo|funny","624660","10638","619","1044","https://i.ytimg.com/vi/ftr0RyuxVlc/default.jpg","False","False","🔥 구독 & 좋아요 & 알림설정 Click?!?! oh yeah!!!! 🔥장소협찬 : MKGYM [경기도 고양시 일산동구 위시티1로 6-47 ,5F]특수분장 '유튜브 김둔둔'https://www.youtube.com/channel/UCmWaIFAnzdt5oBmqtdPQVLQ💥동네놈들 페이스북💥 https://www.facebook.com/videodnnd🤡 개그맨 안진호 🤡 https://www.instagram.com/_zin_ho_🤡 개그맨 최부기🤡 https://www.instagram.com/choi_boogie🤡 개그맨 정재형 🤡https://www.instagram.com/star.jjj#몰카 #몰래카메라 #동네놈들 #小区小家伙 #PRANK #health #weight training #GYM"
"tY1n_hLS9ig","[일차원적 그녀석] 오늘 일진이 아주 개똥이에요.(ep1)","2019-12-20T06:00:07.000Z","UCcyXjAdiepuKgmJO2C2fEmA","환경부","29","19.20.12","방한경|구수진|방구커플|일차원적그녀석|환경부장관상|초관심드라마|초관심오디션|초관심 몰아보기|초관심 특별편|일차원적 그녀석|버들버들|버들버들해 노래|버들버들해 드라마|재능방송|재능방송TV|초관심|환경부|웹드라마|웹드라마추천|청소년드라마|청소년드라마 초관심|환경사랑글짓기|개똥밟은날|재수좋은날|재능방송드라마|특별편","32073","1162","21","155","https://i.ytimg.com/vi/tY1n_hLS9ig/default.jpg","False","False","[일차원적 그녀석] 오늘 일진이 아주 개똥이에요.(ep1)*특별편은 환경부 유튜브 채널에서만 볼 수 있습니다. 구독으로 여러분의 사랑을 보여주세요!▶ 구독자 링크: https://bit.ly/2NtQhAW#일차원적그녀석 #머피의법칙 #방구커플 #환경부X재능TV한경이에게 아주 기분 좋은 일이 일어났는데...한경이의 운수좋은날..어쩐지 오늘은 운이 좋더라니!?왜 이렇게 일진이 사납게 꼬이기만 하는거죠?위기의 방구커플...너네 괜찮은거지?환경TIP.1) 생태공원 등을 산책할 때는 꼭 반려동물의 배변봉투를 준비해주세요~2) 한경이가 상을 받은 국립생물자원관에 방문해 보세요~ 다양한 볼거리가 기다리고 있답니다. 3) 우유팩을 분리배출 할 때는 안에 내용물을 잘 버리고 씻어 말린 후, 우유팩을 따로 분리배출해 버려주세요."
"sNV6KJPSyqE","먹방 1등끼리 사귀면 안되는 이유!","2019-12-20T06:00:08.000Z","UCkG-Bpd44jV22xkAhzo0n9g","1등 미디어","20","19.20.12","웃찾사|문과1등|이과1등|이그젝틀리|이과젝틀리|김성기|신흥재|코미디|문과이과","93083","1731","77","415","https://i.ytimg.com/vi/sNV6KJPSyqE/default.jpg","False","False","동네에 먹을게 없다!!!먹방 1등끼리 사귀면 안되는 이유!!!"
"WtOLWOCzrro","연말 송년회하면 역시, XX이지! 역대급 인파에 촬영 중단할 뻔한 2019 연말 최고의 핫플레이스 리뷰 l 와썹맨 ep.89 | god 박준형","2019-12-20T08:00:09.000Z","UCYgUhR7EGKauFXgJS0pckGg","와썹맨-Wassup Man","24","19.20.12","와썹맨|wassupman|스튜디오 룰루랄라|studio lululala|강남역|핫플레이스|연말|송년회|크리스마스|신년|망년회|모임|고깃집|썸|소개팅|종강|종강파티|보드게임|먹자골목|먹방|리뷰|review|mukbang|gangnam","172694","4601","72","537","https://i.ytimg.com/vi/WtOLWOCzrro/default.jpg","False","False","요오우~~벌써 이천십 구년도 얼마 안나마썹 그래서 오느른 숭년회인지 송년회인지 암튼 사람들 마니모인다고하는 강남역에 가따와썹~!! 나때는 강남역하면 타워레코드가 젤루유명햇는데 지금은다 업서졋지 차암나… 근대진짜 꼬맹쓰들 욜라뤼 만아가지고 날씨는추운데 분위기욜라뤼 핫한거 몬지알쥐?! 고기집골목 첨 가봤는데 소개팅쓰 하는 꼬맹쓰들도만나서 어색한 부니기 내가 풀어주고와찌 커플쓰되면 연락줘BBBAAMM!! 강남에 그르케 술찝마는지 몰랐눈데 다 엄청 재밌께 놀고이써서 나도 가치 머거밨는데 욜라뤼맵고 다들 술때매 혓바닥쓰가 이상해진거가터!!그리고 보더게임 방 처음가밨눈데 완져니 다른 세상쓰~~~기릿!! 내가 꼴찌쓰 해가지고 꼬맹쓰드리 팔목 떼렸지마는 나는 하나도 안아팠찌 빼애애애앰~!  이제진짜 올헤얼마안나마쓰니까 다들 칭구들 마니 만나고 재미께 놀믄 조캣쓰~~~꼬맹쓰들 Merry Christmas and Happy New Year~!! BBAAAMM!!!    #와썹맨 #wassupman #박준형 #강남역 #송년회 #핫플 #먹방 #god #JoonPark #mukbang [와썹맨] 1화 보러가기 ▶ http://bit.ly/2LvyvyV[와썹맨] 2017년 ver. [사서고생_왓써맨] ▶ http://bit.ly/2AjbsSG[스튜디오룰루랄라] 유튜브▶ https://www.youtube.com/studiolululala"
"l3wBGVc1qC8","옆동네 고양이 안아보고 왔습니다.","2019-12-19T12:07:37.000Z","UCETBLykCDpfP6L0awBd7Vwg","Arirang은 고양이들내가 주인","15","19.20.12","아리|고양이|고양이 목욕|아리랑|리랑|남기형|아리집사|아리주인|비명|피비린내|김메주|크림히어로즈|수리노을|반려동물|동물|cat|cats|pet|animal|funny|펫|cream|heroes","233359","10556","94","1275","https://i.ytimg.com/vi/l3wBGVc1qC8/default.jpg","False","False","왜 저는 남의 동네 고양이분들에겐 이쁨받고가족에겐 앞발로 걷어 차이고, 짜증내고...이래도 정녕 제가 잘못하며 사는 것 입니꽈!‘출발 전 팡팡’ 이벤트 많은 관심 부탁드립니다.-----------------------------------------------------------------------------------------------------아리랑 인스타 : https://www.instagram.com/ariismasterimhousebuy/아리랑 메일 : aricat2488@gmail.com#고양이#크림히어로즈#아리랑[사용음악]브금대통령- A Peaceful Afternoon- Paesaggio Italiano- Jerry's StoryMusic provided by 브금대통령"
"--23Rd9dIDk","하필이면 동석이형에게 개겨버린 반항아ㅠㅠ","2019-12-17T08:11:57.000Z","UCaHGOzOyeYzLQeKsVkfLEGA","지무비 : G Movie","1","19.20.12","영화|지무비|영화소개|마동석|시동|박정민|정해인","2168470","18700","721","2054","https://i.ytimg.com/vi/--23Rd9dIDk/default.jpg","False","False","#지무비 #영화 #시동영화 '시동', 오는 12월18일 개봉합니다.제작지원 : NEW"
"tPQSYwRoeyU","(긴급속보) 靑 경호팀 판문점行!? 도대체 누가? 왜?","2019-12-20T03:06:48.000Z","UCbgqDFODvh-q38ouzoKKkVA","신인균의 국방TV","25","19.20.12","신인균|신인균의 국방TV|국방TV|신인균의 군사TV|군사TV|신인균의 안보TV|안보TV|신인균TV 데일리디펜스|긴급속보|속보|청와대|경호처|경호실|CAT|경호|경호관|판문점|VH-92|전용헬기|전용기|정상회담","488890","36008","1366","2936","https://i.ytimg.com/vi/tPQSYwRoeyU/default.jpg","False","False","설명"
