video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"i13kPrQ4QeY","REGRESAMOS A MÉXICO ¡AHORA CON BEBÉ! | FAMILIA BAKERSUAVE","2019-12-19T23:10:54.000Z","UCdioEF3nPWW22zqVc3rxl-w","Berth&Cris","22","19.20.12","BERTHOH|CANAL|DE|PAREJA|BERTH|CRIS|DACOSTAS|BAKERY|PAREJARICOSUAVE|NOVIADEBERTH","1016189","108263","1164","3196","https://i.ytimg.com/vi/i13kPrQ4QeY/default.jpg","False","False","Hola BakerSuaves!!!"
"KGTP7ffrapQ","Camilo - La Difícil (Official Video)","2019-12-20T05:00:09.000Z","UCXQIVincj_W4CYfWKB1iPVQ","CamiloVEVO","10","19.20.12","la dificil camilo|evaluna camilo|camilo album|ladificil|camilo|pedro capo|tutu|no te vayas|mau y ricky|nadie como tutu|tutu video|corazon de hojalata|camilo echeverry|camilo y evaluna|tu tu|tu tu camilo|tutu camilo|tutu camilo letra|camilo tutu|nadie como tu|tutu camilo y pedro capo letra|tutu letra camilo|tu tu nadie como tu tu letra|no hay nadie como tu|tu tu nadie como tu tu no hay un sustituto letra|musica|tut","762960","190108","2003","10391","https://i.ytimg.com/vi/KGTP7ffrapQ/default.jpg","False","False","Camilo — La Difícil  (Official Video) Director: Marlene Rodríguez MirandaProductor: Diego TucciCasa Productora: Hecho a Mano InternacionalMúsica Disponible:Apple Music: https://smarturl.it/CamiloLaDificil/applemusic Spotify: https://smarturl.it/CamiloLaDificil/spotify Amazon: https://smarturl.it/CamiloLaDificil/az Youtube: https://smarturl.it/CamiloLaDificil/youtube iTunes: https://smarturl.it/CamiloLaDificil/itunes GooglePlay: https://smarturl.it/CamiloLaDificil/googleplay Redes:Facebook: https://www.facebook.com/camilomusicaTwitter: https://twitter.com/camilomusicaInstagram: https://www.instagram.com/camilomusica#Camilo #LaDifícil Official Music Video by Camilo performing “La Difícil (C) 2019 Sony Music Entertainment US Latin LLChttp://vevo.ly/CIYJcz"
"I8cp0aQrRiA","¡LLENAMOS DE NIEVE TODO EL JARDÍN DE NUESTRA CASA!","2019-12-20T00:00:12.000Z","UC0n5Ihqix8mEqGsjygiJk6Q","Más SKabeche","24","19.20.12","NIEVE ARTIFICIAL CASERA|ACAMPANDO EN LA MONTAÑA CONGELADA|LOS POLINESIOS|LE LLENAMOS EL COCHE DE NIEVE A MIREIA|ITARTE VLOGS|LAS RATITAS|ATRAPADOS POR LA NIEVE|NADANDO EN LA NIEVE|THE MIRANDAS|LLENO DE NIEVE EL AUTO DE MI HERMANO|SANDRA CIRES|PISCINA DE NIEVE|LE TIRO 10 KG DE NIEVE|LA BOLA DE NIEVE MÁS GRANDE DENTRO DEL AGUA|LLENAMOS DE BOLITAS DE UNICEL SU COCHE|SKABECHE|ESCABECHES|LOS ESCABECHE|CONVERTIMOS NUESTRO BAÑO EN UNA MONTAÑA NAVIDEÑA","1012806","134768","1748","8659","https://i.ytimg.com/vi/I8cp0aQrRiA/default.jpg","False","False","DALE LIKE SI TE GUSTARÍA VER EL VIDEO DE LA ESFERA DE CRISTAL DE NAVIDAD Y COMENTA QUE MÁS TE GUSTARÍA VER EN EL CANALVIDEO DE NUESTRA NAVIDAD: https://youtu.be/fq4JXeJPTnA► SUSCRÍBETE AQUÍ: http://bit.ly/MasSKabeche► CHECA NUESTRA SERIE: http://bit.ly/SERIESKABECHEINSTAGRAM:► http://instagram.com/skabechetv► https://www.instagram.com/bryan_skabeche► https://instagram.com/eddy_skabeche► https://www.instagram.com/sk.petsTWITTER:SKabeche ► https://twitter.com/SKabecheTVBryan ► https://twitter.com/Bryan_SKabecheEddy ► https://twitter.com/Eddy_SKabecheTIK TOK:► bryan_skabeche► eddy_skabecheTWITCH:Eddy SKabeche► https://www.twitch.tv/eddy_skabecheFACEBOOK:SKabeche ► https://www.facebook.com/SKabecheTVEddy SKabeche ► https://www.facebook.com/EddySkabecheBryan SKabeche ► https://www.facebook.com/BryanSKabecheTVContacto y Negocios ► skabeche@gazer73.meSMH :)"
"ZO-AHo-xZts","DECORAMOS EL ÁRBOL DE LESSLIE | MUSAS LOS POLINESIOS","2019-12-19T19:56:39.000Z","UClnKzwo9CPkYix6V9jK4JTQ","Musas","26","19.20.12","MUSAS|LOS POLINESIOS|KAREN|RAFA|LESSLIE|ARBOL DE NAVIDAD|LUCES|5000 LUCES|5000 LUCES DE NAVIDAD|NAVIDAD|ESPIRITU NAVIDEÑO","1908106","124236","1828","8842","https://i.ytimg.com/vi/ZO-AHo-xZts/default.jpg","False","False","Mira aquí nuestro nuevo vídeo musical “Festival” https://youtu.be/w9Wkp3ygJmkEscucha aquí nuestra nueva canción “Festival” en Spotify: http://bit.ly/FestivalspotifyMira aquí nuestro nuevo vídeo musical “Festival” https://youtu.be/w9Wkp3ygJmkEscucha aquí nuestra nueva canción “Festival” en Spotify: http://bit.ly/Festivalspotify TENEMOS OTROS CANALES, DALES UN VISTAZO:Bromas: http://www.youtube.com/platicapolinesaRetos: http://www.youtube.com/ppextrasVlogs: http://www.youtube.com/lospolinesiosVideojuegos: http://www.youtube.com/ppjuxiisNUESTRAS REDES SOCIALES:Karen:***Mi Facebook: http://www.facebook.com/TeamKaren***Mi Twitter: http://www.twitter.com/PPTeamKaren***Mi Instagram: http://www.instagram.com/PPTeamKarenLesslie:***Mi Facebook: http://www.facebook.com/TeamLesslie***Mi Twitter: http://www.twitter.com/PPTeamLesslie***Mi Instagram: http://www.instagram.com/PPTeamLesslie***SUSCRIBETE: http://www.youtube.com/subscription_center?add_user=ppmussasCONTACTO: contacto@platicapolinesia.com____________________________________________Canal Musas | Platica Polinesia | PP"
"4iExma_PfHI","Alex Coppel - Uh La La REMIX ft. Kenia Os, Chucho Rivas (Video Oficial)","2019-12-20T01:00:11.000Z","UC6JKaDUR-1RbekspWtK7ERg","Alex Coppel","10","19.20.12","Alex Coppel|Kenia Os|Chucho Rivas|Uh La La|uh la la remix|alex coppel feat chucho rivas|alex coppel feat kenia os|alex coppel uh la la|kenia os uh la la|chucho rivas uh la la|colaboracion kenia os y alex coppel|colaboracion kenia os y chucho rivas|remix alex coppel y kenia os|remix alex coppel y chucho rivas|uh la la kenia os|uh la la alex coppel|uh la la chucho rivas|nuevo tema alex coppel","138745","32197","1370","2517","https://i.ytimg.com/vi/4iExma_PfHI/default.jpg","False","False","Alex Coppel - Uh La La REMIX ft. Kenia Os, Chucho Rivas (Video Oficial)Inspirado en el mensaje de amor, este reggaetón lejos de hablar de una relación toxica o de una noche de copas, esta canción habla de una mujer que deja a todos boquiabiertos cuando pasa al caminar regalando el mensaje que con su sonrisa enamora a cualquiera.En colaboración con mis amigos Kenia Os y Chucho Rivas¿Qué te pareció el vídeo? COMENTA AQUÍSigueme en todas mis redes sociales:https://www.facebook.com/alexcoppelp/https://twitter.com/alexcoppelphttps://www.instagram.com/alexcoppelp/Artista:  Alex Coppel, Kenia Os, Chucho RivasAutor:  Alex Coppel, Jesús Caballero, Chucho Rivas, Alan Jacques, Kenia OsProductores:  Jesús Caballero, 6ixxxTítulo:  Uh La La REMIXSello discográfico LOV/RECSDirector: Mario Barrón, Frank AlvarezEdición: Frank AlvarezGénero:  Urbano/Latino."
"lls8bT1Bpco","UNA NUEVA HISTORIA COMIENZA HOY | FÉNIX 🦅 TEAM","2019-12-19T03:19:46.000Z","UCFgd91W1uwcai7mf7P8_zKg","Fénix Team","22","19.20.12","[none]","1365938","199901","15998","22255","https://i.ytimg.com/vi/lls8bT1Bpco/default.jpg","False","False","Hola a todos 🙌🏻 esto es el inicio de una nueva aventura, esperamos contar con su apoyo. #FÉNIXTEAM 🦅"
"3W8Ylhm4_8Y","ACZINO || BZRP Freestyle Sessions #8","2019-12-18T22:00:01.000Z","UCmS75G-98QihSusY7NfCZtw","Bizarrap","24","19.20.12","Bizarrap|Biza|Bisarrap|bisarap|bizarap|sesion|sessions|music sessions|freestyle sessions|freestyle|trap|rap|musica latina|latin music|ACZINO || BZRP Freestyle Sessions #8|aczino|aleman|mexico|bizaraap|aczino freestyle|aczino rap|aczino versus wos|aleman bizarrap|bisaraap|aczino redbull|acezino wos|aleman bzrp|aczino vs wos","3440145","570303","35532","46994","https://i.ytimg.com/vi/3W8Ylhm4_8Y/default.jpg","False","False","ACZINO || BZRP Freestyle Sessions #8Lyrics by: https://www.instagram.com/aczino_oficialBeat by: https://www.instagram.com/bizarrapShot by: https://www.instagram.com/gianlyfeEdited and produced by: https://www.instagram.com/bizarrapMic: Sennheiser MK4Headphones: Sennheiser 630VB & HD 280 PROBooking / Contacto contacto.bizarrap@lauriaweb.com"
"u7ub7KDvzcU","Lo que me voy a cenar en Navidad | La Capital","2019-12-19T22:00:15.000Z","UCEwl20VxZ3AwOgiKMZtI1GQ","La Capital","26","19.20.12","la capital|oscar meza|prime rib|carne ahumada|como ahumar carne|como preparar ribeye|a la mantequilla|papa al horno|cena navidad|smoked prime rib","1075405","70517","825","2825","https://i.ytimg.com/vi/u7ub7KDvzcU/default.jpg","False","False","Una cena muy rica pero tambien sencilla para estas épocas Decembrinas. Prime Rib ahumado con mesquite y sazonado a la mantequilla acompañado de papa al horno, espárragos y gravy.Grand Western Steaks: www.grandwesternsteaks.com15% de descuento usando el código: LACAPITAL —————————————————————————————Contacto directo: oscarmeza.ro@gmail.comInstagram: https://www.instagram.com/oscarmezarTwitter: https://twitter.com/oscarmezarFacebook: https://www.facebook.com/lacapitalcocina—————————————————————————————Mi Equipo:Dutch Oven: https://amzn.to/2NhNDz4Ahumador 1: https://amzn.to/2xTmOt2Ahumador 2: https://amzn.to/2QV8xXDAsador Pequeño: https://amzn.to/36euvJJMi asador: https://amzn.to/2Oqsf89Mi cámara: https://amzn.to/31nzZPpGuantes negros: http://amzn.to/2gZnqVCIniciador de fuego/carbón: https://amzn.to/2JJXVV6Mi estufa: http://amzn.to/2ENnpBX Cuchillo 1: https://amzn.to/2rz1iqr Cuchillo 2: https://amzn.to/31pqcZ7Cuchillo 3: https://amzn.to/2QvkzreCuchillo 4: https://amzn.to/2AmeCp1Cuchillo 5: https://amzn.to/2PDd38uCuchillo Carnicero: https://amzn.to/2WLxYLJProcesadora: https://amzn.to/2YGhofrMolino eléctrico: https://tinyurl.com/yxgrvnquSellador al vacío: https://amzn.to/2NsBw4nHojuelas de sal: https://amzn.to/2Xkf8yJ"
"wdWoEpJBU2U","NUESTRA RUTINA DE NOCHE EN PAREJA 🔥*les enseñamos todo* (Night Routine)","2019-12-20T01:15:00.000Z","UCjRtvi-OLuBB7XBBlV27csA","Romeli","22","19.20.12","Romeli|HotSpanish|Novia|Novio|Pareja YouTuber","340102","29206","700","2262","https://i.ytimg.com/vi/wdWoEpJBU2U/default.jpg","False","False","Hola Romelis! Nos ayudarian muchisimo si dejan su Like y Comparten el video (:Suscribete para mas videos ➜ https://www.youtube.com/c/Romelimx?sub_confirmation=1Siguenos en las redes oficiales de RomeliFacebook: https://www.facebook.com/romelimxInstagram: https://www.instagram.com/romelimxTwitter: https://twitter.com/romelimxCanción del Intro: https://www.youtube.com/watch?v=u4dPFjzIUMwCanción del Outro: https://www.youtube.com/watch?v=T16rqLp05RIPara negocios y marcas robertomelissa2018@gmail.com"
"4F1tKDDgaHQ","BROMA CONVERTIMOS A NUESTRO AMIGO EN UN PASTEL EN SU CUMPLEAÑOS","2019-12-20T02:00:00.000Z","UC0Z9Id3pirzJg7JVUmiyPPw","HotSpanish Vlogs","24","19.20.12","hot spanish|hotspanish|hotspanish blog|hotspanishvlogs|hotspanish vlogs|luisitocomunica|luisitocomunicaa|luisito|luisito comunica|comunica|broma|entretenimiento|pastel|cumpleaños","208987","21817","308","1151","https://i.ytimg.com/vi/4F1tKDDgaHQ/default.jpg","False","False","HotSpanish - Me Va Mejor (Video Oficial)https://youtu.be/jDwoEyTzcC0https://www.brocolitienda.com/Sigueme en mi canal de musica ➡ https://www.youtube.com/channel/UCZl5...Sígueme en Instagram @hotspanishtv#HotSpanish #Broma #Entretenimiento"
