video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"VEcAAUEQ6rs","MORGENSHTERN - YUNG HEFNER (теперь внатуре клип!!!)","2019-12-20T10:45:01.000Z","UCWnqnojAgMdN0fQpr_xByJw","MORGENSHTERN","10","19.20.12","моргенштерн|хефнер|хью|молодой|трек|новый|скачать|слушать|текст|клип|yung|hefner|morgenstern","1026300","298641","16708","15288","https://i.ytimg.com/vi/VEcAAUEQ6rs/default.jpg","False","False","МЫ ЕДЕМ К ТЕБЕ! http://yunghefnertour.ru/СЛУШАЙ ВЕЗДЕ: https://band.link/Duf6TЕЩЁ 👇ПОДОТРИСЬ МНОЙ: https://kissmy.store/КОЛЛЕКЦИЯ ПЫЛЬ Е*АНАЯ: https://mamcupy.com/catalog/mamcupy/khudi-pyl/Инстаграм: https://www.instagram.com/morgen_shtern/VK: https://vk.com/morgenshtern666Telegram: https://teleg.one/OAOAOMMMГЕНИАЛЬНЫЙ БИТ НАПИСАЛ: https://vk.com/marlowbeatsСВЁЛ: https://vk.com/plamlyСНИМАЛ ЭТО ВСЁ: https://www.instagram.com/frame_tamer/МОНТИРОВАЛ: https://www.instagram.com/sawooz.nurs/Контакты:Реклама/Концерты/Коммерция: morgenshternpr@gmail.com | +79999833339 (Анна)Фан почта (для ваших писем и артов с любовью): morgenloveyou@gmail.com"
"UROC8R9EhpI","ЧТО В ОРБИЗАХ Новогодний Челлендж? / Вики Шоу","2019-12-20T11:00:07.000Z","UCnm_vYgguleXm0FL4F2vejg","Viki Show","24","19.20.12","новогодний челлендж|Вики шоу|Viki show|Вика шоу|челлендж 2019|новый год|новогодние подарки|новый год 2020|Новое видео|Новая серия|Челлендж|Блогер|Популярный блогер|Топ|для девочек|а4|популярный канал|фемили|новый челлендж|веселое видео|дружная семья|смешное видео|челлендж 2020|новогодние костюмы|папа вики шоу|вики шоу плей|орбизы","413132","32119","1269","0","https://i.ytimg.com/vi/UROC8R9EhpI/default.jpg","True","False","Папа подготовил новый новогодний челлендж 2020 Что в орбизах? Спрятал новогодние игрушки в аквариуме с орбизами и надо на ощупь угадать что внутри. Затем произойдет волшебство и Вы увидите как проявляются предметы сквозь orbezz 📷 Вика в Инстаграм: http://www.instagram.com/vikishow_official🌹 Мама Вики в Инстаграм: http://www.instagram.com/rozaraa📩 Сотрудничество: http://viki.show/contacts/🎸 Production Music courtesy of Epidemic Sound epidemicsound.com"
"KN_ZRC_ESmE","ПОШЛАЯ МОЛЛИ - МИШКА (feat. KATERINA)","2019-12-20T09:00:02.000Z","UCDVnp5x53g5L-kBvQsGOW9w","ПОШЛАЯ МОЛЛИ","10","19.20.12","Пошлая Молли|Кирилл Бледный|Дроп Блед|ПОШЛАЯ МОЛЛИ - МИШКА (feat. KATERINA)|ПОШЛАЯ МОЛЛИ|KATERINA|МИШКА|Катя Кищук|ПОШЛАЯ|МОЛЛИ|Бледный|ПОШЛАЯ МОЛЛИ - МИШКА|feat. KATERINA|Кирилл Тимошенко|мишка|Кищук|пошлая молли|катя кищук|dropbled","197437","42322","3286","1841","https://i.ytimg.com/vi/KN_ZRC_ESmE/default.jpg","False","False","ПОШЛАЯ МОЛЛИvk - http://www.vk.com/poshlaya_mollyfb - http://www.facebook.com/ПОШЛАЯ-МОЛЛИ-185790168585711/КОНЦЕРТЫ:http://www.pmbilet.comDirector: Никита Квасников (Nikita Kvasnikov)Producer: Максим Балтер (Maxim Balter) DOP: Eugene Filatov Art-director: Danny Rubinstein Production Designer: Viktor BuchkovskiySteadicam operator: Andrey Koval1st AD: Pasha Chui1st AC: Kirill Poddubniy2nd AC: Gleb TinyakovFocus: Roman PlakhotnikGaffer: Anush AhtarniaKey grip: Pavel ZhykovChief electric: Genadiy YdotCasting: Evgenia Shtuchka Casting assistant: Aleksandr SygakLocation: Pavel BotvinovskiyMUA: Evgeniya KozlovaStyle: Masha SiviakovaStyle assistant: Igor BondarenkoProp: Alexander KoheyArt production: Alex CharukSergey KariyAndrey ShepelProducer Assistant: Eugene MikitkaBackstage photo: Roman KetkovCatering: Yaroslav Edit: Никита Квасников (Nikita Kvasnikov)Sound designer: Dmitry SnizhkoColor: Valentin VernigorMotion design: Vitaliy Kravchyk"
"-vnFctdiWUs","Корней Наказан. Тамаев Вернулся. Хачёвский дрифт: Часть 2. Битва за хайп.","2019-12-19T15:49:32.000Z","UCnbxcA3kZ_uUYIBHNvxpDQw","ДНЕВНИК ХАЧА","22","19.20.12","дневник хача|амиран сардаров|обзор|влоги|эдвард бил|битва за хайп|корней тарасов|инстасамец корней|николай данилов|Хуссейн адамов|бои без правил|mma|шоу|jony|комета|артем тарасов|бои","3683517","248622","19824","32823","https://i.ytimg.com/vi/-vnFctdiWUs/default.jpg","False","False","NiBK brake systems – https://nibkaftermarket.comNiBK – мировой бренд тормозных систем.--------------------Музыкальный гость JONY - Комета14.11.2020 JONY, ELMAN, ANDRO Большой сольный концерт в ДС МЕГАСПОРТ: https://clck.ru/LEW4yhttps://vk.com/jonyelmanandro2020--------------------Спасибо Pampido Show - участник проектов «танцы» на ТНТ и World Of Dance Los Angeles. Подписываемся на его инсту и респектеум.Инста:  http://instagram.com/mr.pampido Тик ток - https://vm.tiktok.com/xbDnmu/--------------------Wasted Customs - крутые тачки, подарки и поездкиhttps://www.youtube.com/channel/UC7KeRv7g_79YE-aSlkDKULghttps://www.CARloson.ru - крутые тачки в аренду можете взять тут.Канал Жеваный Крот:https://www.youtube.com/channel/UCtQH_kNI9S1Y0_u37W8BwoA--------------------Продолжение главных боёв «Битвы за хайп». Покусает ли «Цепной пёс» Тарасов Инстасамца? Асхаб Тамаев возвращается в октагон. Сколько продержится новый соперник Папы? Переедет ли Т-34 Николая Данилова?--------------------Создание Влогов. Вирусных Роликов. Пиар Артистов. Продвижение Услуг.http://lionsmedia.ru--------------------Ссылки на соц сети:Инста: http://bit.ly/2JsQS4JTikTok: http://bit.ly/38dm5ndМоя страница: http://bit.ly/348D6MsГруппа: http://bit.ly/2Pn1LbNБИТВА ЗА ХАЙП в ВК: http://bit.ly/2WpkpRV------Production Music courtesy of Epidemic Sound#АмиранСардаров #ДневникХача #БитваЗаХайпTrack: Jordan Schor X Marvin Divine - Want It AllProvided by Magic RecordsListen To The Original: fanlink.to/bnWjTrack: LUKA & NIKO - Grind [Magic Release]Music Provided By: Magic RecordsListen To The Original: bit.ly/2GPxrE0Fanlink: fanlink.to/grdTrack: Karan Kanchan - Tokyo Grime [Magic Release]Music Provided By: Magic RecordsListen To The Original: bit.ly/2Vt8x0aFanlink: fanlink.to/tokyogrimeTrack: Taw & Mylky & M.I.M.E – Renegades [Magic Release]Music Provided By: Magic RecordsFanlink: fanlink.to/KwhMusic provided by Monstercat: TheFatRatSlayditAnjulie - Strongerhttps://youtube.com/monstercat https://youtube.com/monstercatinstinctMusic provided by Monstercat: REAPER - OBLIVIONhttps://youtube.com/monstercat https://youtube.com/monstercatinstinctTrack: Kujah - RitualMusic Provided by Magic RecordsListen To The Original: youtu.be/nSoUMkRCTWMFree Download: #electronicStream/Download: fanlink.to/bprGMagic Spotify: spoti.fi/2AqGRy2Magic No Copyright Music: bit.ly/2AtUbUrMagic Instagram: bit.ly/2Iny5FNTrack: BoyPanda - Kratos [Magic Release]Music Provided By: Magic RecordsListen To The Original: bit.ly/2GRZ7s4Fanlink: fanlink.to/kratos"
"fcAaPuDVQXg","Навальный о пресс-конференции Путина 2019","2019-12-19T20:03:56.000Z","UC-IsnffPBo3H7JXJEeYaBbQ","Новости СМЕХдержарвы","23","19.20.12","Навальный о пресс конференции Путина|Алексей Навальный о Путине и его прямой линии|Путин|новости смехдержавы","533362","31447","2119","6880","https://i.ytimg.com/vi/fcAaPuDVQXg/default.jpg","False","False","Итак,новая пресс-конференция Путина под новый год.Что же наш дед-мороз обещал в этот раз?Пенсии?Реформы?нет.Всё гораздо и гораздо кручеПолный выпуск наваляшек тутhttps://www.youtube.com/watch?v=BvDBgie--ng#новостисмехдержавы #прессконференцияПутина #Путин"
"aKAMCQdju9Q","EDWARD BIL / ПЛОХОЙ САНТА / НОВОГОДНИЙ ПРАНК  - ЧАСТЬ 1 / Реакция ЛЮДЕЙ НА МОИ ВЫХОДКИ","2019-12-20T10:11:04.000Z","UCjFPu8rOAk1hleLQH6-7_Hg","Edward Bil","22","19.20.12","edward bil|эдвард бил|пранк|prank|реакция людей на мои выходки|розыгрыш|пранк над девушкой|пранк над парнем|новогодний беспредел|новогодний пранк|плохой санта пранк|дед мороз эдвард бил|новый год пранк|ёлка пранк|санта клаус пранк|необычный пранк|благотворительность|бабушка заплакала|помог бабушке|раздал все деньги|эдвард бил чи да|Джавид эдвард бил|Джавид","471319","67374","2149","4833","https://i.ytimg.com/vi/aKAMCQdju9Q/default.jpg","False","False","✅Ссылка на телеграм спонсора в закреплённом комментарии!Канал Валеры: https://www.youtube.com/channel/UCegbn_C_Eb-iKxN065xVlHg?sub_confirmation=1Номер красавиц В ТЕЛЕГЕ: https://teleg.one/joinchat/AAAAAErpUE2JD_l8FpW8HgПОДПИШИСЬ НА КАНАЛ: https://www.youtube.com/c/EdwardBilCrazyPranks?sub_confirmation=1ПОДПИШИСЬ на СОЦСЕТИ:INSTAGRAM: https://www.instagram.com/bil_edwardVK: https://vk.com/public168032840На благотворительность: 5536 9137 9209 8143 (Тинькофф)Реакция людей на топовый выпуск, новогодний пранк. Плохой санта - первая часть убойных праздничных выходок на улицах. Несносный Дед мороз и Санта Клаус раздают подарки (совместно с Джавид), помог бабушкам на улице - раздал все деньги. Необычный пранк над девушкой, пранк над парнем, реакция прохожих на странные разговоры и поступки. #edwardbil #пранк #prank"
"2s4QH4VzNl8","ЖАРЕННАЯ ВАРЕНАЯ или СЫРАЯ ЕДА ЧЕЛЛЕНДЖ !","2019-12-19T12:30:17.000Z","UC2tsySbe9TNrI-xh2lximHA","A4","24","19.20.12","ЖАРЕННАЯ ВАРЕНАЯ или СЫРАЯ ЕДА ЧЕЛЛЕНДЖ|ЖАРЕННАЯ ВАРЕНАЯ или СЫРАЯ ЕДА|ЕДА ЧЕЛЛЕНДЖ|ЖАРЕНАЯ ВАРЕНАЯ или СЫРАЯ ЕДА ЧЕЛЛЕНДЖ|жареная еда челлендж|вареная еда челлендж|сырая еда челлендж|челлендж|вареная|сырая|жаренная|еда|Влад А4|Влад Бумага|А4","4529297","492186","21589","54690","https://i.ytimg.com/vi/2s4QH4VzNl8/default.jpg","False","False","АКАДЕМИЯ А4: https://a4go.online/spark Ссылка на МЕРЧ ВЛАДА А4 http://bit.ly/A4_merchКанал А5: https://bit.ly/2PGspuGКачай приложение “А4 Колесо фортуны” по ссылке - https://a4roulette.onelink.me/v63S/go В этом ролике мы будем ЕСТЬ !!! У нас будет одна еда, но по-разному приготовленна, она может быть - ЖАРЕННАЯ, ВАРЕНАЯ ИЛИ СЫРАЯ !!! Кому что попадется узнаешь в ролике !!! ● Instagram - https://www.instagram.com/a4omgПОДПИСЫВАЙСЯ ЧТОБЫ УВЕЛИЧИТЬ МОЮ САМООЦЕНКУ !) ▶ РЕКЛАМА, СОТРУДНИЧЕСТВО: a4a4a4a4pr@gmail.com▶ПРОШЛОЕ ВИДЕО - https://youtu.be/R0pbLgaHelY● Instagram - https://www.instagram.com/a4omg● VKontakte: https://vk.com/id240651878● Паблик VK : https://vk.com/a4_tv● Моя партнерская сеть MediaCube :  http://bit.ly/A4_mcn"
"CdKzibP1bKY","ШКОЛЬНИК РАССКАЗАЛ ЗАЧЕМ РАЗБИЛ ТАЧКИ (не кликбейт!) |  Самый быстрый самокат России VS Камеры","2019-12-20T09:02:02.000Z","UCHxmpe0x92ECyimlkazbuKg","КОМАНДА А","22","19.20.12","Влог|блог|vlog|путешествия|приключения|шоу|show|эксперимент|красотка|красавицы|афоня|afonyatv|афонятв|школьник|разбили тачки|нариман|russia paver|раша павер|джавид|рустам|рустам маэр|озвучка|djavid|команда а|тачки|bmw x5|гонки|самокат|электросамокат|самый быстрый|засада|дима гречка|стефан|yanis grek|sony|extra bass|музыка|клип|новый год|подарки","226046","21514","1469","1228","https://i.ytimg.com/vi/CdKzibP1bKY/default.jpg","False","False","Хочешь такую же аудиосистему? Переходи по ссылке в описании и получи скидку на Sony EXTRA BASS - https://store.sony.ru/ref/KomandaA  Аудиосистема - https://www.sony.ru/electronics/hi-fi-sistemy/mhc-v42d?cid=scp-eu-15787----------------------------------------------------------------------Команда А в Telegramhttps://ttttt.me/Komanda_A-------------------------------------------------ПОДПИШИСЬ НА НАШИ ИНСТАГРАМ Для того чтобы конкурсы и выпуски выходили чащеhttp://instagram.com/yanis.life - Янисhttp://instagram.com/stefan.life - Стефанhttp://instagram.com/nariman.life - Нариманhttp://instagram.com/dimakruykov - Дима Гречка-----------------------------------------------------------------------------По рекламе и сотрудничеству: info@KomandaA.ru-----------------------------------------------------------------------------"
"XerZw6GbXy4","Стрельба произошла у здания ФСБ на Лубянке - Москва 24","2019-12-19T15:57:16.000Z","UCIme7og-uTpdRXRgm0zzA2A","Москва 24","25","19.20.12","м24|москва|московские новости|столица|новости столицы|собянин|последние новости|москва 24|m24|москвичи|новости|происшествия|видео|роман карлов|новости москвы|стрельба|стрельба в центре москвы|фсб|Стрельба произошла у здания ФСБ на Лубянке|здания ФСБ|Стрельба|ФСБ на Лубянке|ФСБ","470823","3593","643","2434","https://i.ytimg.com/vi/XerZw6GbXy4/default.jpg","False","False","Сайт: https://www.m24.ru/ Подписывайтесь на наш канал в YouTube: https://www.youtube.com/user/infomoscow24?sub_confirmation=1На месте работают все экстренные службыМы в социальных сетях:Вконтакте: https://vk.com/infomoscow24Twitter: https://twitter.com/infomoscow24Facebook: https://www.facebook.com/infomoscow24/Instagram: https://www.instagram.com/infomoscow24/Одноклассники: https://ok.ru/infomoscow24Москва 24 - это новости 24 часа в прямом эфире. Наши корреспонденты освещают все важные события города. Политика, экономика, спорт, юмор, погода, интервью, специальные репортажи, происшествия и многое другое вы увидите первыми в прямом эфире."
"2qd5aCctN8w","Мистическое оживление. Ничего не понятно, но очень интересно  🙂","2019-12-19T15:51:46.000Z","UCG4yz4wtp2E5S62L06yqC9w","ИЛЬДАР АВТО-ПОДБОР","2","19.20.12","каризма|мистика|блок|двигатель|эбу|катушки|BREMI|NJK|ЭРА|Доминант|1.3|проводка|ап сервис|питер|санкт петербург|кодировка|иммо|иммобилайзер|перепрошивка|пайка|не заводится|на холодную|стартер|искра|нет|почему|как|ремонт|своими руками","1087807","71697","1293","8230","https://i.ytimg.com/vi/2qd5aCctN8w/default.jpg","False","False","Всем привет! Сегодня у нас наверное самое мистическое оживление за всю историю канала. Всё началось с того, что три месяца назад мы увидели очень интересное видео, которое прислали нам из Питера обладатели автомобиля мицубиши каризма. Мы не смогли пройти мимо такого необычного случая, бросили всё и поехали в Санкт-Петербург.Приятного просмотра!))Ильдар Авто-подбор это официальный канал компании авто-подбор.рф.Подбор подержанных автомобилей.Выездная диагностика. Проверка бу авто перед покупкой по 105 пунктам: состояние двигателя и АКПП, электрика и электроника, кузов и ходовая.Оценка целесообразности покупки автомобиля. Проверка технической и юридической чистоты.Сайт: https://podbor.org/?utm_source=youtube&utm_medium=social&utm_campaign=yt-mainЕдиный номер: 8 (800) 555-25-74Ильдар в ВК: http://vk.com/cars_podborИльдар в Instagram: https://www.instagram.com/ildar_autopodbor/Ильдар в Facebook : https://www.facebook.com/AutoPodborRF/Консультации бесплатно! Обращайтесь!"
